109.230.214.176 - - [13/Aug/2016:21:36:19 -0700] "GET /special-offers.html HTTP/1.1" 200 23685 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2351.3 Safari/537.36 Edge/12.0" "www.superior-dentistry.com"
54.242.164.91 - - [13/Aug/2016:21:47:40 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (X11; Linux x86_64)AppleWebKit/537.36 (KHTML, like Gecko)Chrome/43.0.2357.134 Safari/537.36http://notifyninja.com/monitoring" "superior-dentistry.com"
209.126.127.49 - - [13/Aug/2016:21:53:20 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
192.187.101.170 - - [13/Aug/2016:22:00:53 -0700] "GET /webroot/plugins/elfinder/elfinder.html HTTP/1.1" 404 89 "-" "-" "www.superior-dentistry.com"
192.187.101.170 - - [13/Aug/2016:22:00:53 -0700] "GET /ext/elFinder/elfinder.html HTTP/1.1" 404 89 "-" "-" "www.superior-dentistry.com"
192.187.101.170 - - [13/Aug/2016:22:00:53 -0700] "GET /vendor/elfinder/elfinder.html HTTP/1.1" 404 89 "-" "-" "www.superior-dentistry.com"
192.187.101.170 - - [13/Aug/2016:22:00:53 -0700] "GET /js/lib/elfinder/elfinder.html HTTP/1.1" 404 89 "-" "-" "www.superior-dentistry.com"
192.187.101.170 - - [13/Aug/2016:22:00:53 -0700] "GET /Public/static/elfinder/elfinder.html HTTP/1.1" 404 89 "-" "-" "www.superior-dentistry.com"
192.187.101.170 - - [13/Aug/2016:22:00:53 -0700] "GET /webszerk/elfinder/elfinder.html HTTP/1.1" 404 89 "-" "-" "www.superior-dentistry.com"
198.16.7.150 - - [13/Aug/2016:22:05:22 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
96.244.19.250 - - [13/Aug/2016:22:06:18 -0700] "GET /testimonials.html HTTP/1.1" 200 24785 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-N920V 4G Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36" "www.superior-dentistry.com"
180.76.15.7 - - [13/Aug/2016:23:06:13 -0700] "GET /Financial-And-Privacy-Policy.pdf HTTP/1.1" 200 617984 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
52.23.248.19 - - [13/Aug/2016:23:08:50 -0700] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30875 "-" "Mozilla/5.0 (compatible; linkdexbot/2.0; +http://www.linkdex.com/bots/)" "www.superior-dentistry.com"
52.23.248.19 - - [13/Aug/2016:23:58:51 -0700] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 27344 "-" "Mozilla/5.0 (compatible; linkdexbot/2.0; +http://www.linkdex.com/bots/)" "www.superior-dentistry.com"
52.23.248.19 - - [14/Aug/2016:00:16:42 -0700] "GET /firstvisit.html HTTP/1.1" 200 24044 "-" "Mozilla/5.0 (compatible; linkdexbot/2.0; +http://www.linkdex.com/bots/)" "www.superior-dentistry.com"
52.23.248.19 - - [14/Aug/2016:00:22:10 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23825 "-" "Mozilla/5.0 (compatible; linkdexbot/2.0; +http://www.linkdex.com/bots/)" "superior-dentistry.com"
52.23.248.19 - - [14/Aug/2016:00:24:10 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; linkdexbot/2.0; +http://www.linkdex.com/bots/)" "superior-dentistry.com"
52.23.248.19 - - [14/Aug/2016:00:37:12 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27799 "-" "Mozilla/5.0 (compatible; linkdexbot/2.0; +http://www.linkdex.com/bots/)" "superior-dentistry.com"[1]
207.46.13.170 - - [14/Aug/2016:00:58:07 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
134.249.65.218 - - [14/Aug/2016:01:00:17 -0700] "GET / HTTP/1.1" 200 38900 "http://film-one.ru/" "Mozilla/4.7 (compatible; OffByOne; Windows 2000) Webster Pro V3.4" "www.superior-dentistry.com"
198.16.7.150 - - [14/Aug/2016:01:09:10 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
54.86.165.7 - - [14/Aug/2016:01:23:26 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; linkdexbot/2.0; +http://www.linkdex.com/bots/)" "superior-dentistry.com"
180.76.15.145 - - [14/Aug/2016:01:52:31 -0700] "GET /Dentist-Bowie-MD/css/?S=A HTTP/1.1" 200 1872 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
54.242.164.91 - - [14/Aug/2016:01:52:42 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (X11; Linux x86_64)AppleWebKit/537.36 (KHTML, like Gecko)Chrome/43.0.2357.134 Safari/537.36http://notifyninja.com/monitoring" "superior-dentistry.com"
198.16.7.150 - - [14/Aug/2016:02:09:47 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
180.76.15.13 - - [14/Aug/2016:02:26:00 -0700] "GET /services.html HTTP/1.1" 200 34139 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
100.43.85.25 - - [14/Aug/2016:02:44:15 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "superior-dentistry.com"
5.255.250.70 - - [14/Aug/2016:02:44:19 -0700] "GET /sitemap.xml HTTP/1.1" 200 4530 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "superior-dentistry.com"
52.0.135.187 - - [14/Aug/2016:03:22:46 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0)" "www.superior-dentistry.com"
