24.153.52.195 - - [01/Mar/2016:19:49:59 -0800] "GET /img/meetdr-ali.jpg HTTP/1.1" 200 60533 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900V Build/LRX21T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/48.0.2564.106 Mobile Safari/537.36" "www.superior-dentistry.com"
24.153.52.195 - - [01/Mar/2016:19:50:05 -0800] "GET /favicon.ico HTTP/1.1" 200 688 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 5.0; SM-G900V Build/LRX21T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/48.0.2564.106 Mobile Safari/537.36" "www.superior-dentistry.com"
199.16.156.126 - - [01/Mar/2016:19:50:32 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
157.55.39.55 - - [01/Mar/2016:19:54:37 -0800] "GET /Bowie-Dentists/images/care6.jpg HTTP/1.1" 200 110316 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
157.55.39.131 - - [01/Mar/2016:19:54:56 -0800] "GET /Bowie-Dentists/images/meetdr2.png HTTP/1.1" 200 61340 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
73.200.216.248 - - [01/Mar/2016:19:56:41 -0800] "GET /theme.css HTTP/1.1" 304 - "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.superior-dentistry.com"
73.200.216.248 - - [01/Mar/2016:19:56:42 -0800] "GET /fonts/fontawesome-webfont.woff?v=4.3.0 HTTP/1.1" 200 71508 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.superior-dentistry.com"
157.55.39.131 - - [01/Mar/2016:20:03:51 -0800] "GET /Bowie-Dentists/images/mainimg2.jpg HTTP/1.1" 200 100452 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
136.243.103.165 - - [01/Mar/2016:20:10:44 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
141.8.143.149 - - [01/Mar/2016:20:15:12 -0800] "GET /Financial-And-Privacy-Policy.pdf HTTP/1.1" 200 617984 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
85.14.244.113 - - [01/Mar/2016:20:25:20 -0800] "GET /Dental-Sites-We-Like.html HTTP/1.1" 200 41324 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
85.14.244.113 - - [01/Mar/2016:20:25:24 -0800] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 31039 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
193.111.140.106 - - [01/Mar/2016:20:25:26 -0800] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 38040 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
208.122.6.102 - - [01/Mar/2016:21:17:25 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
66.249.75.212 - - [01/Mar/2016:22:05:08 -0800] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "www.superior-dentistry.com"
208.122.6.102 - - [01/Mar/2016:22:21:20 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
71.126.178.67 - - [01/Mar/2016:23:01:28 -0800] "GET /css/font-awesome.css HTTP/1.1" 304 - "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.superior-dentistry.com"
71.126.178.67 - - [01/Mar/2016:23:01:28 -0800] "GET /theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.superior-dentistry.com"
71.126.178.67 - - [01/Mar/2016:23:01:28 -0800] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1" "www.superior-dentistry.com"
