5.39.85.81 - - [11/Mar/2016:00:14:42 -0800] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 38040 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24" "www.superior-dentistry.com"
5.39.85.81 - - [11/Mar/2016:00:14:44 -0800] "GET /index.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24" "www.superior-dentistry.com"
5.39.85.81 - - [11/Mar/2016:00:14:54 -0800] "GET /extractions.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24" "www.superior-dentistry.com"
5.39.85.81 - - [11/Mar/2016:00:14:54 -0800] "GET /treatment.php HTTP/1.1" 200 21262 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24" "www.superior-dentistry.com"
5.39.85.81 - - [11/Mar/2016:00:14:57 -0800] "GET /patient.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24" "www.superior-dentistry.com"
5.39.85.81 - - [11/Mar/2016:00:14:57 -0800] "GET /aboutus.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24" "www.superior-dentistry.com"[0]
5.39.85.81 - - [11/Mar/2016:00:14:57 -0800] "GET /Bowie-Dentists/patient.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24" "www.superior-dentistry.com"
5.39.85.81 - - [11/Mar/2016:00:14:57 -0800] "GET /Bowie-Dentists/meet-staff.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24" "www.superior-dentistry.com"
5.39.85.81 - - [11/Mar/2016:00:14:58 -0800] "GET /Bowie-Dentists/testimonials.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24" "www.superior-dentistry.com"
198.16.7.150 - - [11/Mar/2016:00:32:21 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
