61.135.190.104 - - [25/Apr/2016:21:42:38 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 5_0 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A334 Safari/7534.48.3" "www.superior-dentistry.com"
61.135.190.222 - - [25/Apr/2016:21:50:55 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "www.superior-dentistry.com"
61.135.190.104 - - [25/Apr/2016:21:51:04 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "www.superior-dentistry.com"
61.135.190.104 - - [25/Apr/2016:21:51:05 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "www.superior-dentistry.com"
198.16.7.150 - - [25/Apr/2016:22:10:15 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
45.79.89.188 - - [25/Apr/2016:23:04:09 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; Uptimebot/1.0; +http://www.uptime.com/uptimebot)" "superior-dentistry.com"
198.16.7.150 - - [25/Apr/2016:23:11:33 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
134.249.55.100 - - [25/Apr/2016:23:28:20 -0700] "GET / HTTP/1.1" 200 38900 "http://silvermature.net/" "Mozilla/6.0 (compatible; MSIE 7.0a1; Windows NT 5.2; SV1)" "www.superior-dentistry.com"
134.249.55.100 - - [25/Apr/2016:23:28:21 -0700] "GET / HTTP/1.1" 200 38900 "http://silvermature.net/" "Mozilla/6.0 (compatible; MSIE 7.0a1; Windows NT 5.2; SV1)" "www.superior-dentistry.com"
134.249.55.100 - - [25/Apr/2016:23:28:22 -0700] "GET / HTTP/1.1" 200 38900 "http://all-sims.ru/" "Mozilla/6.0 (compatible; MSIE 7.0a1; Windows NT 5.2; SV1)" "www.superior-dentistry.com"
157.55.39.206 - - [25/Apr/2016:23:32:11 -0700] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 25411 "-" "msnbot-media/1.1 (+http://search.msn.com/msnbot.htm)" "www.superior-dentistry.com"
61.135.190.221 - - [25/Apr/2016:23:52:18 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 5_0 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A334 Safari/7534.48.3" "superior-dentistry.com"
61.135.190.221 - - [25/Apr/2016:23:52:19 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 5_0 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A334 Safari/7534.48.3" "superior-dentistry.com"
61.135.190.221 - - [25/Apr/2016:23:52:19 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 5_0 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A334 Safari/7534.48.3" "superior-dentistry.com"
123.125.71.16 - - [25/Apr/2016:23:52:39 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
209.126.127.49 - - [25/Apr/2016:23:56:40 -0700] "GET /%E2%80%9Dhttp://www.nicedentist.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
61.135.190.223 - - [26/Apr/2016:00:01:44 -0700] "GET / HTTP/1.1" 200 38900 "http://www.baidu.com/s?wd=SuperiorDentistry%7CBowieMD" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
