199.16.156.125 - - [07/Jan/2016:20:49:49 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [07/Jan/2016:20:49:49 -0800] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD HTTP/1.1" 200 32565 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.124 - - [07/Jan/2016:20:49:49 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [07/Jan/2016:20:49:49 -0800] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 32565 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
208.122.6.102 - - [07/Jan/2016:21:17:09 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
208.122.6.102 - - [07/Jan/2016:22:19:13 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
173.0.63.77 - - [07/Jan/2016:22:19:18 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
173.0.63.77 - - [07/Jan/2016:22:19:19 -0800] "GET /%E2%80%9Dhttp://www.nicedentist.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
5.9.73.227 - - [07/Jan/2016:22:25:25 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
5.9.73.227 - - [07/Jan/2016:22:25:27 -0800] "GET /Bowie-Dentists-Sitemap.html HTTP/1.1" 200 28353 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
183.79.222.21 - - [07/Jan/2016:22:36:22 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Y!J-ASR/0.1 crawler (http://www.yahoo-help.jp/app/answers/detail/p/595/a_id/42716/)" "www.superior-dentistry.com"
183.79.222.21 - - [07/Jan/2016:22:36:22 -0800] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "Y!J-ASR/0.1 crawler (http://www.yahoo-help.jp/app/answers/detail/p/595/a_id/42716/)" "www.superior-dentistry.com"
183.79.221.236 - - [07/Jan/2016:22:56:12 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Y!J-ASR/0.1 crawler (http://www.yahoo-help.jp/app/answers/detail/p/595/a_id/42716/)" "www.superior-dentistry.com"
183.79.221.236 - - [07/Jan/2016:22:56:12 -0800] "GET /Dental-Links.html HTTP/1.1" 200 27636 "-" "Y!J-ASR/0.1 crawler (http://www.yahoo-help.jp/app/answers/detail/p/595/a_id/42716/)" "www.superior-dentistry.com"
69.30.221.250 - - [07/Jan/2016:22:57:29 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
69.30.221.250 - - [07/Jan/2016:22:57:31 -0800] "GET /%E2%80%9Dhttp://www.nicedentist.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
183.79.221.236 - - [07/Jan/2016:22:58:19 -0800] "GET /services.html HTTP/1.1" 200 34114 "-" "Y!J-ASR/0.1 crawler (http://www.yahoo-help.jp/app/answers/detail/p/595/a_id/42716/)" "www.superior-dentistry.com"
31.6.36.122 - - [07/Jan/2016:23:03:57 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "www.superior-dentistry.com"
183.79.222.21 - - [07/Jan/2016:23:09:25 -0800] "GET /index.html HTTP/1.1" 200 38156 "-" "Y!J-ASR/0.1 crawler (http://www.yahoo-help.jp/app/answers/detail/p/595/a_id/42716/)" "www.superior-dentistry.com"
54.183.153.209 - - [07/Jan/2016:23:14:25 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; Owler/0.4; +; )" "superior-dentistry.com"
54.183.153.209 - - [07/Jan/2016:23:14:25 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; Owler/0.4; +; )" "superior-dentistry.com"
54.183.153.209 - - [07/Jan/2016:23:14:25 -0800] "GET /blog/feed/ HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; Owler/0.4; +; )" "superior-dentistry.com"
73.250.216.144 - - [07/Jan/2016:23:18:08 -0800] "GET /img/extraction.jpg HTTP/1.1" 200 30135 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/47.0.2526.107 Mobile/13B143 Safari/601.1.46" "www.superior-dentistry.com"
73.250.216.144 - - [07/Jan/2016:23:18:09 -0800] "GET /img/oral-pathology.jpg HTTP/1.1" 200 33395 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko) CriOS/47.0.2526.107 Mobile/13B143 Safari/601.1.46" "www.superior-dentistry.com"
