54.242.164.91 - - [02/Oct/2016:07:07:05 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (X11; Linux x86_64)AppleWebKit/537.36 (KHTML, like Gecko)Chrome/43.0.2357.134 Safari/537.36http://notifyninja.com/monitoring" "superior-dentistry.com"
198.16.7.150 - - [02/Oct/2016:07:32:27 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
157.56.2.203 - - [02/Oct/2016:07:50:16 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27799 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36 (BingLocalSearch)" "www.superior-dentistry.com"
199.59.148.209 - - [02/Oct/2016:07:53:29 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [02/Oct/2016:07:53:29 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.209 - - [02/Oct/2016:07:53:29 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [02/Oct/2016:07:53:29 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.209 - - [02/Oct/2016:07:53:30 -0700] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.210 - - [02/Oct/2016:07:53:30 -0700] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.59.148.209 - - [02/Oct/2016:07:53:30 -0700] "GET /images/endodontia-root-canal-treatment.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
157.56.3.66 - - [02/Oct/2016:07:53:57 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.152 Safari/537.36 (BingLocalSearch)" "www.superior-dentistry.com"
