45.55.134.10 - - [18/Oct/2015:22:07:46 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "superior-dentistry.com"
45.55.134.10 - - [18/Oct/2015:22:07:46 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://superior-dentistry.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "superior-dentistry.com"
45.55.134.10 - - [18/Oct/2015:22:07:46 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://superior-dentistry.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "superior-dentistry.com"
45.55.134.10 - - [18/Oct/2015:22:07:46 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://superior-dentistry.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "superior-dentistry.com"
45.55.134.10 - - [18/Oct/2015:22:07:46 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://superior-dentistry.com/" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)" "superior-dentistry.com"
207.46.13.166 - - [18/Oct/2015:22:22:38 -0700] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 (compatible; bingbot/2.0;  http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
54.221.206.141 - - [18/Oct/2015:22:32:24 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "superior-dentistry.com"
208.122.6.102 - - [18/Oct/2015:22:52:11 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
100.43.91.5 - - [18/Oct/2015:22:55:28 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
95.142.163.99 - - [18/Oct/2015:23:14:23 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0" "www.superior-dentistry.com"
123.125.71.46 - - [18/Oct/2015:23:55:13 -0700] "GET /img/logo.jpg HTTP/1.1" 200 139628 "http://image.baidu.com/i?ct=503316480&z=0&tn=baiduimagedetail" "Baiduspider-image+(+http://www.baidu.com/search/spider.htm)" "superior-dentistry.com"
100.43.91.1 - - [18/Oct/2015:23:59:38 -0700] "GET /img/after1.jpg HTTP/1.1" 200 9920 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
198.27.65.39 - - [19/Oct/2015:00:20:00 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
198.27.65.39 - - [19/Oct/2015:00:20:01 -0700] "GET /%E2%80%9Dhttp://www.nicedentist.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
71.244.204.62 - - [19/Oct/2015:00:26:39 -0700] "GET /images/patientform.png HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko) Version/8.0.8 Safari/600.8.9" "www.superior-dentistry.com"
66.249.75.93 - - [19/Oct/2015:00:32:31 -0700] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
217.164.59.146 - - [19/Oct/2015:00:33:45 -0700] "GET /img/offer-31-05-2014-new-patient.jpg HTTP/1.1" 200 15365 "https://www.google.com" "Mozilla/5.0 (Windows NT 5.1; rv:41.0) Gecko/20100101 Firefox/41.0" "www.superior-dentistry.com"
208.122.6.102 - - [19/Oct/2015:00:53:57 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
141.8.143.182 - - [19/Oct/2015:01:03:40 -0700] "GET /img/logo.jpg HTTP/1.1" 200 139628 "-" "Mozilla/5.0 (compatible; YandexImages/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
180.76.15.138 - - [19/Oct/2015:01:10:49 -0700] "GET /Dentist-Bowie-MD/css/?N=D HTTP/1.1" 200 1932 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
217.164.59.146 - - [19/Oct/2015:01:12:46 -0700] "GET /Bowie-Dentists/images/offer-31-05-2014-whitening.jpg HTTP/1.1" 200 15686 "https://www.google.com" "Mozilla/5.0 (Windows NT 5.1; rv:41.0) Gecko/20100101 Firefox/41.0" "www.superior-dentistry.com"
217.164.59.146 - - [19/Oct/2015:01:13:12 -0700] "GET /Bowie-Dentists/images/offer-31-05-2014-new-patient.jpg HTTP/1.1" 200 15365 "https://www.google.com" "Mozilla/5.0 (Windows NT 5.1; rv:41.0) Gecko/20100101 Firefox/41.0" "www.superior-dentistry.com"
107.152.128.28 - - [19/Oct/2015:01:33:57 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36" "www.superior-dentistry.com"
91.121.112.142 - - [19/Oct/2015:01:36:03 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
91.121.112.142 - - [19/Oct/2015:01:36:04 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27636 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
91.121.112.142 - - [19/Oct/2015:01:36:06 -0700] "GET /meet-staff.html HTTP/1.1" 200 22166 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
158.69.200.185 - - [19/Oct/2015:01:36:07 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
91.121.112.142 - - [19/Oct/2015:01:36:08 -0700] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
158.69.200.185 - - [19/Oct/2015:01:36:08 -0700] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
91.121.112.142 - - [19/Oct/2015:01:36:09 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
91.121.112.142 - - [19/Oct/2015:01:36:11 -0700] "GET /testimonials.html HTTP/1.1" 200 24783 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
208.122.6.102 - - [19/Oct/2015:01:55:07 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
