173.153.5.160 - - [12/Jun/2016:21:38:30 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://www.superior-dentistry.com/" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:38:30 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://www.superior-dentistry.com/" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:38:32 -0700] "GET /fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780 "http://www.superior-dentistry.com/css/font-awesome.css" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:38:33 -0700] "GET /img/meetdr-melika.jpg HTTP/1.1" 200 75968 "http://www.superior-dentistry.com/" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:38:34 -0700] "GET /img/meetdr-ali.jpg HTTP/1.1" 200 60533 "http://www.superior-dentistry.com/" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:39:16 -0700] "GET /img/extraction.jpg HTTP/1.1" 200 30135 "http://www.superior-dentistry.com/" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:40:08 -0700] "GET /img/slider1.jpg HTTP/1.1" 200 268888 "http://www.superior-dentistry.com/" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:40:24 -0700] "GET /img/dental-extractions.jpg HTTP/1.1" 200 165246 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:40:24 -0700] "GET /img/invisalign.jpg HTTP/1.1" 200 142640 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
199.16.156.124 - - [12/Jun/2016:21:42:32 -0700] "GET /images/endodontia-root-canal-treatment.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.126 - - [12/Jun/2016:21:42:33 -0700] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:49:32 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23825 "http://www.superior-dentistry.com/services.html" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:49:33 -0700] "GET /favicon.ico HTTP/1.1" 200 688 "http://www.superior-dentistry.com/Patient-Before-After-Gallery.html" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:49:37 -0700] "GET /img/before1.jpg HTTP/1.1" 200 13262 "http://www.superior-dentistry.com/Patient-Before-After-Gallery.html" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:49:42 -0700] "GET /img/after2.jpg HTTP/1.1" 200 13168 "http://www.superior-dentistry.com/Patient-Before-After-Gallery.html" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:49:43 -0700] "GET /img/doc.png HTTP/1.1" 200 26918 "http://www.superior-dentistry.com/Patient-Before-After-Gallery.html" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:49:44 -0700] "GET /img/zocdoc-apt.jpg HTTP/1.1" 200 79396 "http://www.superior-dentistry.com/Patient-Before-After-Gallery.html" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
173.153.5.160 - - [12/Jun/2016:21:49:48 -0700] "GET /img/offer-31-05-2014-new-patient.jpg HTTP/1.1" 200 15365 "http://www.superior-dentistry.com/Patient-Before-After-Gallery.html" "Mozilla/5.0 (X11; CrOS x86_64 7978.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.103 Safari/537.36" "www.superior-dentistry.com"
