96.231.167.49 - - [30/Oct/2016:17:45:25 -0700] "GET /img/slider3.jpg HTTP/1.1" 200 217901 "http://www.superior-dentistry.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36" "www.superior-dentistry.com"
96.231.167.49 - - [30/Oct/2016:17:45:25 -0700] "GET /img/slider2.jpg HTTP/1.1" 200 345766 "http://www.superior-dentistry.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36" "www.superior-dentistry.com"
96.231.167.49 - - [30/Oct/2016:17:47:18 -0700] "GET /testimonials.html HTTP/1.1" 200 24785 "http://www.superior-dentistry.com/index.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36" "www.superior-dentistry.com"
96.231.167.49 - - [30/Oct/2016:17:47:19 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1477885636279 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/testimonials.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36" "www.superior-dentistry.com"
96.231.167.49 - - [30/Oct/2016:17:48:34 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "http://www.superior-dentistry.com/testimonials.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36" "www.superior-dentistry.com"
96.231.167.49 - - [30/Oct/2016:17:48:36 -0700] "GET /assets/flash/ZeroClipboard.swf?noCache=1477885712941 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/contact-us.html" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36" "www.superior-dentistry.com"
180.76.15.18 - - [30/Oct/2016:18:00:12 -0700] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
157.55.39.80 - - [30/Oct/2016:18:32:53 -0700] "GET /testimonials.html HTTP/1.1" 200 24785 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "superior-dentistry.com"
157.55.39.80 - - [30/Oct/2016:18:33:44 -0700] "GET /Dental-LinkExchange.html HTTP/1.1" 200 24959 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "superior-dentistry.com"
157.55.39.80 - - [30/Oct/2016:18:34:16 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "superior-dentistry.com"
40.77.167.91 - - [30/Oct/2016:18:39:35 -0700] "GET /Dentist-Bowie-MD/css/bootstrap.css HTTP/1.1" 200 138415 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
