54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /services.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /testimonials.html HTTP/1.1" 200 24783 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30866 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /Dental-LinkExchange.html HTTP/1.1" 200 24659 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 32565 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 19779 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /Dentists-Bowie-MD.html HTTP/1.1" 200 27332 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /dental-implants.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /wisdom-teeth.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /tmj-disorder.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"
54.198.216.138 - - [15/Apr/2016:03:42:35 -0700] "GET /oral-pathology.html HTTP/1.1" 404 89 "-" "EventMachine HttpClient" "www.superior-dentistry.com"[0]
