91.198.143.118 - - [11/Feb/2016:22:10:26 -0800] "GET /Bowie-Dentists/testimonials.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
157.55.39.40 - - [11/Feb/2016:22:24:42 -0800] "GET /images/offer2-big.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
40.77.167.4 - - [11/Feb/2016:22:25:28 -0800] "GET /Bowie-Dentists/images/mainimg2.jpg HTTP/1.1" 200 100452 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
208.122.6.102 - - [11/Feb/2016:22:41:47 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
169.55.230.181 - - [11/Feb/2016:23:24:29 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "WeSEE" "superior-dentistry.com"
198.148.27.5 - - [11/Feb/2016:23:24:56 -0800] "GET / HTTP/1.1" 200 38156 "-" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
198.148.27.20 - - [11/Feb/2016:23:24:57 -0800] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
198.148.27.6 - - [11/Feb/2016:23:24:57 -0800] "GET /theme.css HTTP/1.1" 200 1926 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
198.148.27.10 - - [11/Feb/2016:23:24:57 -0800] "GET /css/font-awesome.css HTTP/1.1" 200 28747 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
198.148.27.20 - - [11/Feb/2016:23:24:57 -0800] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
198.148.27.5 - - [11/Feb/2016:23:24:57 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://superior-dentistry.com/" "Pulsepoint XT3 web scraper" "superior-dentistry.com"
169.55.230.176 - - [11/Feb/2016:23:25:29 -0800] "GET /theme.css HTTP/1.1" 200 1926 "http://superior-dentistry.com/" "WeSEE_Bot:we_help_monitize_your_site (http://www.wesee.com/bot/)" "superior-dentistry.com"
169.55.230.176 - - [11/Feb/2016:23:25:29 -0800] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://superior-dentistry.com/" "WeSEE_Bot:we_help_monitize_your_site (http://www.wesee.com/bot/)" "superior-dentistry.com"
169.55.230.176 - - [11/Feb/2016:23:25:29 -0800] "GET /img/jaw-surgery.jpg HTTP/1.1" 200 27058 "http://superior-dentistry.com/" "WeSEE_Bot:we_help_monitize_your_site (http://www.wesee.com/bot/)" "superior-dentistry.com"
169.55.230.176 - - [11/Feb/2016:23:25:29 -0800] "GET /img/tmj-trauma.jpg HTTP/1.1" 200 22488 "http://superior-dentistry.com/" "WeSEE_Bot:we_help_monitize_your_site (http://www.wesee.com/bot/)" "superior-dentistry.com"
169.55.230.176 - - [11/Feb/2016:23:25:29 -0800] "GET /img/slider3.jpg HTTP/1.1" 200 217901 "http://superior-dentistry.com/" "WeSEE_Bot:we_help_monitize_your_site (http://www.wesee.com/bot/)" "superior-dentistry.com"
