162.129.251.239 - - [20/Aug/2016:00:56:07 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://www.superior-dentistry.com/index.html" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"[0]
54.242.164.91 - - [20/Aug/2016:00:58:48 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (X11; Linux x86_64)AppleWebKit/537.36 (KHTML, like Gecko)Chrome/43.0.2357.134 Safari/537.36http://notifyninja.com/monitoring" "superior-dentistry.com"
123.125.71.91 - - [20/Aug/2016:01:11:39 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
66.249.69.144 - - [20/Aug/2016:01:51:45 -0700] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
54.242.164.91 - - [20/Aug/2016:02:00:14 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (X11; Linux x86_64)AppleWebKit/537.36 (KHTML, like Gecko)Chrome/43.0.2357.134 Safari/537.36http://notifyninja.com/monitoring" "superior-dentistry.com"
46.119.116.73 - - [20/Aug/2016:02:16:49 -0700] "GET / HTTP/1.1" 200 38900 "http://pokemongo-all-news.ru/" "Opera/9.00 (Windows NT 5.1; U; en)" "www.superior-dentistry.com"
46.119.116.73 - - [20/Aug/2016:02:16:50 -0700] "GET / HTTP/1.1" 200 38900 "http://pokemongo-all-news.ru/" "Opera/9.00 (Windows NT 5.1; U; en)" "www.superior-dentistry.com"
46.119.116.73 - - [20/Aug/2016:02:16:50 -0700] "GET / HTTP/1.1" 200 38900 "http://pokemongo-all-news.ru/" "Opera/9.00 (Windows NT 5.1; U; en)" "www.superior-dentistry.com"
198.16.7.150 - - [20/Aug/2016:02:17:11 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
123.125.67.163 - - [20/Aug/2016:03:09:32 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.93 Safari/537.36" "www.superior-dentistry.com"
