180.76.15.22 - - [11/Oct/2015:22:49:15 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://superior-dentistry.com/" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
95.142.163.99 - - [11/Oct/2015:23:10:30 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0" "www.superior-dentistry.com"
104.168.99.170 - - [12/Oct/2015:00:33:02 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "-" "www.superior-dentistry.com"
208.122.6.102 - - [12/Oct/2015:00:49:24 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
46.248.173.98 - - [12/Oct/2015:01:01:07 -0700] "GET / HTTP/1.1" 200 38156 "-" "-" "superior-dentistry.com"
52.89.250.27 - - [12/Oct/2015:01:08:47 -0700] "GET /wp-login.php HTTP/1.1" 200 73 "-" "Opera/9.80 (Windows NT 6.0) Presto/2.12.388 Version/12.14" "www.superior-dentistry.com"
180.76.15.21 - - [12/Oct/2015:01:19:21 -0700] "GET /css/reset.css HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
119.96.195.98 - - [12/Oct/2015:01:36:01 -0700] "GET /blog.php HTTP/1.1" 200 99736 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
75.134.133.243 - - [12/Oct/2015:01:48:29 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
75.134.133.243 - - [12/Oct/2015:01:48:31 -0700] "GET /%E2%80%9Dhttp://www.nicedentist.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
62.210.148.233 - - [12/Oct/2015:01:57:03 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
62.210.148.233 - - [12/Oct/2015:01:57:05 -0700] "GET /index.html HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
62.210.148.233 - - [12/Oct/2015:01:57:06 -0700] "GET /meet-staff.html HTTP/1.1" 200 22166 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
