54.187.209.40 - - [18/Dec/2015:23:06:58 -0800] "GET /firstvisit.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:07:01 -0800] "GET /testimonial.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:07:15 -0800] "GET /dental-implants.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:07:16 -0800] "GET /wisdom-teeth.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:07:20 -0800] "GET /orthognathic-jaw-surgery.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:07:23 -0800] "GET /tmj-disorder.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:07:29 -0800] "GET /patient.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:07:35 -0800] "GET /Dentist.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.187.209.40 - - [18/Dec/2015:23:07:36 -0800] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 19779 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.225.99.218 - - [18/Dec/2015:23:18:49 -0800] "HEAD /Dental-LinkExchange.html HTTP/1.1" 200 0 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0" "superior-dentistry.com"
54.225.99.218 - - [18/Dec/2015:23:18:49 -0800] "GET /Dental-LinkExchange.html HTTP/1.1" 200 25575 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0" "superior-dentistry.com"
51.254.103.60 - - [19/Dec/2015:00:09:04 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "www.superior-dentistry.com"
180.76.15.24 - - [19/Dec/2015:00:24:14 -0800] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 31039 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "www.superior-dentistry.com"
52.90.204.189 - - [19/Dec/2015:00:36:30 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (compatible; proximic; +http://www.proximic.com/info/spider.php)" "superior-dentistry.com"
95.142.163.99 - - [19/Dec/2015:00:59:59 -0800] "GET /dental-linkexchange.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:26.0) Gecko/20100101 Firefox/26.0" "www.superior-dentistry.com"
208.122.6.102 - - [19/Dec/2015:01:04:20 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
54.225.99.218 - - [19/Dec/2015:01:58:47 -0800] "GET /Dental-LinkExchange.html HTTP/1.1" 200 25575 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.7.5) Gecko/20041107 Firefox/1.0" "superior-dentistry.com"
54.225.99.218 - - [19/Dec/2015:01:58:47 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "superior-dentistry.com"
217.147.85.214 - - [19/Dec/2015:02:02:32 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/4.0 (compatible; Synapse)" "superior-dentistry.com"
208.122.6.102 - - [19/Dec/2015:02:04:35 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
117.26.198.86 - - [19/Dec/2015:02:33:13 -0800] "GET /blog.php HTTP/1.1" 200 99736 "-" "Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
89.76.82.40 - - [19/Dec/2015:02:40:49 -0800] "GET /administrator HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "superior-dentistry.com"
208.122.6.102 - - [19/Dec/2015:03:05:21 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
141.8.143.183 - - [19/Dec/2015:03:07:55 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
207.46.13.98 - - [19/Dec/2015:03:32:24 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
207.46.13.98 - - [19/Dec/2015:03:34:17 -0800] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
65.36.241.48 - - [19/Dec/2015:03:44:47 -0800] "HEAD / HTTP/1.1" 200 0 "-" "InternetSeer.com" "www.superior-dentistry.com"
66.249.80.3 - - [19/Dec/2015:03:54:53 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (Windows NT 6.1; rv:6.0) Gecko/20110814 Firefox/6.0 Google Favicon" "superior-dentistry.com"
66.249.80.21 - - [19/Dec/2015:03:54:53 -0800] "GET /favicon.ico HTTP/1.1" 200 688 "-" "Mozilla/5.0 (Windows NT 6.1; rv:6.0) Gecko/20110814 Firefox/6.0 Google Favicon" "superior-dentistry.com"
208.122.6.102 - - [19/Dec/2015:04:06:22 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
