100.16.67.72 - - [29/Jun/2016:06:15:59 -0700] "GET /img/zocdoc-apt.jpg HTTP/1.1" 200 79396 "http://www.superior-dentistry.com/Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13E238 Safari/601.1" "www.superior-dentistry.com"
173.252.74.98 - - [29/Jun/2016:06:26:24 -0700] "GET /img/slider2.jpg HTTP/1.1" 200 345766 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.superior-dentistry.com"
66.220.158.117 - - [29/Jun/2016:06:26:34 -0700] "GET / HTTP/1.1" 200 38900 "-" "facebookexternalhit/1.1 (+http://www.facebook.com/externalhit_uatext.php)" "www.superior-dentistry.com"
71.72.68.42 - - [29/Jun/2016:07:06:37 -0700] "GET /img/care3.jpg HTTP/1.1" 200 62411 "http://www.bing.com/images/search?q=dental+staff+professional+photos&view=detailv2&&id=ECDD5E257D672AE39A708028B2C6E05A87DF2204&selectedIndex=0&ccid=rnpXomcB&simid=608003319602676442&thid=OIP.Mae7a57a267018b9311c85ad707a34623o0&mode=overlay" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
209.126.106.147 - - [29/Jun/2016:07:08:29 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0" "www.superior-dentistry.com"
209.126.106.147 - - [29/Jun/2016:07:08:29 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0" "www.superior-dentistry.com"
209.126.106.147 - - [29/Jun/2016:07:08:29 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:23.0) Gecko/20100101 Firefox/23.0" "www.superior-dentistry.com"
104.199.183.234 - - [29/Jun/2016:07:21:32 -0700] "GET / HTTP/1.1" 200 38900 "-" "Apache-HttpClient/4.5.2 (Java/1.8.0_91)" "www.superior-dentistry.com"
167.114.172.225 - - [29/Jun/2016:07:25:04 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; Dataprovider/6.92; +https://www.dataprovider.com/)" "www.superior-dentistry.com"
167.114.172.225 - - [29/Jun/2016:07:25:08 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; Dataprovider/6.92; +https://www.dataprovider.com/)" "www.superior-dentistry.com"
167.114.172.225 - - [29/Jun/2016:07:25:09 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "-" "Mozilla/5.0 (compatible; Dataprovider/6.92; +https://www.dataprovider.com/)" "www.superior-dentistry.com"
167.114.172.225 - - [29/Jun/2016:07:25:10 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27799 "-" "Mozilla/5.0 (compatible; Dataprovider/6.92; +https://www.dataprovider.com/)" "www.superior-dentistry.com"[0]
167.114.172.225 - - [29/Jun/2016:07:25:12 -0700] "GET /Dentist-Bowie-MD/Periodontal-Services-Maryland-MD.html HTTP/1.1" 200 25411 "-" "Mozilla/5.0 (compatible; Dataprovider/6.92; +https://www.dataprovider.com/)" "www.superior-dentistry.com"
167.114.172.225 - - [29/Jun/2016:07:25:14 -0700] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (compatible; Dataprovider/6.92; +https://www.dataprovider.com/)" "www.superior-dentistry.com"
167.114.172.225 - - [29/Jun/2016:07:25:16 -0700] "GET /Dentist-Bowie-MD/Dental-Links.html HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; Dataprovider/6.92; +https://www.dataprovider.com/)" "www.superior-dentistry.com"
167.114.172.225 - - [29/Jun/2016:07:25:19 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23825 "-" "Mozilla/5.0 (compatible; Dataprovider/6.92; +https://www.dataprovider.com/)" "www.superior-dentistry.com"
167.114.172.225 - - [29/Jun/2016:07:25:20 -0700] "GET /Dental-LinkExchange.html HTTP/1.1" 200 24959 "-" "Mozilla/5.0 (compatible; Dataprovider/6.92; +https://www.dataprovider.com/)" "www.superior-dentistry.com"
167.114.172.225 - - [29/Jun/2016:07:25:21 -0700] "GET /Dental-Sites-We-Like.html HTTP/1.1" 200 41846 "-" "Mozilla/5.0 (compatible; Dataprovider/6.92; +https://www.dataprovider.com/)" "www.superior-dentistry.com"
167.114.172.225 - - [29/Jun/2016:07:25:22 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Mozilla/5.0 (compatible; Dataprovider/6.92; +https://www.dataprovider.com/)" "www.superior-dentistry.com"
5.255.250.70 - - [29/Jun/2016:07:35:36 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
100.43.85.25 - - [29/Jun/2016:07:35:40 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
141.8.143.194 - - [29/Jun/2016:07:35:41 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 8_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B411 Safari/600.1.4 (compatible; YandexMobileBot/3.0; +http://yandex.com/bots)" "www.superior-dentistry.com"
198.16.7.150 - - [29/Jun/2016:07:57:15 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
209.105.247.210 - - [29/Jun/2016:07:57:53 -0700] "GET / HTTP/1.1" 200 38900 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "www.superior-dentistry.com"
209.105.247.210 - - [29/Jun/2016:07:57:53 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "www.superior-dentistry.com"
209.105.247.210 - - [29/Jun/2016:07:57:53 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 138415 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "www.superior-dentistry.com"
209.105.247.210 - - [29/Jun/2016:07:57:54 -0700] "GET /css/font-awesome.css HTTP/1.1" 200 28747 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "www.superior-dentistry.com"[0]
209.105.247.210 - - [29/Jun/2016:07:57:54 -0700] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "www.superior-dentistry.com"
209.105.247.210 - - [29/Jun/2016:07:57:54 -0700] "GET /theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36" "www.superior-dentistry.com"
