65.36.241.48 - - [25/Nov/2016:16:13:03 -0800] "HEAD / HTTP/1.1" 200 0 "-" "InternetSeer.com" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:18:59 -0800] "GET /Bowie-Dentists/blog.php HTTP/1.1" 200 416 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
202.171.212.175 - - [25/Nov/2016:18:19:00 -0800] "GET /Bowie-Dentists/Dental-Links.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com/Bowie-Dentists/Childrens-Dentistry-Maryland.html" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.137 Safari/537.36" "www.superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:26:58 -0800] "GET / HTTP/1.1" 200 38900 "http://superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36" "superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:27:05 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:27:06 -0800] "GET /services.html HTTP/1.1" 200 34139 "http://superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:21.0) Gecko/20100101 Firefox/21.0" "superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:27:06 -0800] "GET /meet-staff.html HTTP/1.1" 200 22168 "http://superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36" "superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:27:06 -0800] "GET /contact-us.html HTTP/1.1" 200 23728 "http://www.superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.1; rv:28.0) Gecko/20100101 Firefox/28.0" "www.superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:27:06 -0800] "GET /firstvisit.html HTTP/1.1" 200 24044 "http://superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:27:06 -0800] "GET /dentist-bowie-md/periodontal-services-maryland-md.html HTTP/1.1" 404 89 "http://www.superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36" "www.superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:27:06 -0800] "GET /contact-us.html HTTP/1.1" 200 23728 "http://superior-dentistry.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:29.0) Gecko/20100101 Firefox/29.0" "superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:27:06 -0800] "GET /patient-before-after-gallery.html HTTP/1.1" 404 89 "http://superior-dentistry.com" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)" "superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:27:06 -0800] "GET / HTTP/1.1" 200 38900 "http://www.superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36" "www.superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:27:06 -0800] "GET /firstvisit.html HTTP/1.1" 200 24044 "http://www.superior-dentistry.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 Safari/537.36" "www.superior-dentistry.com"
45.55.69.245 - - [25/Nov/2016:18:27:06 -0800] "GET /dental-sites-we-like.html HTTP/1.1" 404 89 "http://superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:28.0) Gecko/20100101 Firefox/28.0" "superior-dentistry.com"
198.16.7.150 - - [25/Nov/2016:18:42:06 -0800] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
76.21.150.91 - - [25/Nov/2016:18:50:16 -0800] "GET /css/bootstrap.css HTTP/1.1" 304 - "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4" "www.superior-dentistry.com"
76.21.150.91 - - [25/Nov/2016:18:50:16 -0800] "GET /theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4" "www.superior-dentistry.com"
76.21.150.91 - - [25/Nov/2016:18:50:16 -0800] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4" "www.superior-dentistry.com"
76.21.150.91 - - [25/Nov/2016:18:50:16 -0800] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4" "www.superior-dentistry.com"
76.21.150.91 - - [25/Nov/2016:18:50:16 -0800] "GET /img/jaw-surgery.jpg HTTP/1.1" 200 27058 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4" "www.superior-dentistry.com"
76.21.150.91 - - [25/Nov/2016:18:50:16 -0800] "GET /img/extraction.jpg HTTP/1.1" 200 30135 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4" "www.superior-dentistry.com"
76.21.150.91 - - [25/Nov/2016:18:50:16 -0800] "GET /img/wisdom-teeth-extraction.jpg HTTP/1.1" 200 23758 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4" "www.superior-dentistry.com"
76.21.150.91 - - [25/Nov/2016:18:50:16 -0800] "GET /img/slider2.jpg HTTP/1.1" 200 345766 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4" "www.superior-dentistry.com"
