198.16.7.150 - - [17/Sep/2016:04:31:10 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
54.242.164.91 - - [17/Sep/2016:04:44:33 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (X11; Linux x86_64)AppleWebKit/537.36 (KHTML, like Gecko)Chrome/43.0.2357.134 Safari/537.36http://notifyninja.com/monitoring" "superior-dentistry.com"
199.16.156.126 - - [17/Sep/2016:05:08:05 -0700] "GET /images/endodontia-root-canal-treatment.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.126 - - [17/Sep/2016:05:08:05 -0700] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"[0]
199.16.156.126 - - [17/Sep/2016:05:08:10 -0700] "GET /Dentist-Bowie-MD/Dental-Implants-Maryland-MD HTTP/1.1" 200 32074 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [17/Sep/2016:05:08:11 -0700] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 31634 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.124 - - [17/Sep/2016:05:08:11 -0700] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD HTTP/1.1" 200 31634 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
173.172.156.59 - - [17/Sep/2016:06:07:34 -0700] "GET /img/porcelain-veneers.jpg HTTP/1.1" 200 151567 "https://www.google.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/53.0.2785.116 Safari/537.36" "www.superior-dentistry.com"
96.255.7.206 - - [17/Sep/2016:06:48:31 -0700] "GET / HTTP/1.1" 200 38900 "http://www.google.com/search?site=&source=hp&ei=2kjdV6TIDsqte5KRoKAD&q=dentist+office+near+me&oq=denti&gs_l=mobile-gws-hp.1.1.0l5.5659.14570.0.17825.10.8.2.6.6.0.177.1049.0j8.8.0....0...1c.1j4.64.mobile-gws-hp..0.10.535.3..41j0i131k1j0i131i46k1j46i131k1.fw1F3RD9PgM" "Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-N920P Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36" "www.superior-dentistry.com"
96.255.7.206 - - [17/Sep/2016:06:48:31 -0700] "GET /css/bootstrap-theme.css HTTP/1.1" 200 19156 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-N920P Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36" "www.superior-dentistry.com"
96.255.7.206 - - [17/Sep/2016:06:48:31 -0700] "GET /css/font-awesome.css HTTP/1.1" 200 28747 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-N920P Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36" "www.superior-dentistry.com"
96.255.7.206 - - [17/Sep/2016:06:48:31 -0700] "GET /theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG SM-N920P Build/MMB29K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/4.0 Chrome/44.0.2403.133 Mobile Safari/537.36" "www.superior-dentistry.com"
