78.46.174.197 - - [12/Jan/2016:05:04:36 -0800] "GET /%E2%80%9Dhttp://www.nicedentist.com HTTP/1.1" 404 89 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.5; http://www.majestic12.co.uk/bot.php?+)" "superior-dentistry.com"
170.97.167.69 - - [12/Jan/2016:05:05:49 -0800] "GET / HTTP/1.1" 200 38156 "https://www.google.com" "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
170.97.167.69 - - [12/Jan/2016:05:05:50 -0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
170.97.167.69 - - [12/Jan/2016:05:05:50 -0800] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
170.97.167.69 - - [12/Jan/2016:05:05:50 -0800] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
170.97.167.69 - - [12/Jan/2016:05:05:51 -0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1452603951388 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
170.97.167.69 - - [12/Jan/2016:05:06:20 -0800] "GET /services.html HTTP/1.1" 200 34114 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
199.16.156.125 - - [12/Jan/2016:05:06:24 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.124 - - [12/Jan/2016:05:06:24 -0800] "GET /robots.txt HTTP/1.1" 200 49 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.125 - - [12/Jan/2016:05:06:24 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.124 - - [12/Jan/2016:05:06:24 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
199.16.156.124 - - [12/Jan/2016:05:06:25 -0800] "GET /images/logo1.jpg HTTP/1.1" 404 89 "-" "Twitterbot/1.0" "www.superior-dentistry.com"
170.97.167.69 - - [12/Jan/2016:05:06:38 -0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1452603998034 HTTP/1.1" 404 89 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
170.97.167.69 - - [12/Jan/2016:05:06:59 -0800] "GET /meet-staff.html HTTP/1.1" 200 22166 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
170.97.167.69 - - [12/Jan/2016:05:06:59 -0800] "GET /img/Dr-Melika.jpg HTTP/1.1" 200 28557 "http://www.superior-dentistry.com/meet-staff.html" "Mozilla/5.0 (Windows NT 6.1; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
